rank,name,team,points,born,nation,height,weight,skis,boots,poles
165,Björn Toft,Danish Ski Maraton Team,10,05.12.1981,DEN,,,,,
165,Niclas Hägglund,Exsitec Ski Team,10,22.08.1990,SWE,176 cm,70 kg,Fischer,Fischer,Kv+
167,Lauro Brändli,TEAM BSV IBEX,7,11.03.1997,SUI,185 cm,76 kg,Rossignol,Rossignol,Leki
168,Matthias Fugger,xc-ski.de A|N Skimarathon Team,7,13.04.1991,AUT,176 cm,76 kg,Atomic ,Alpina,Start
169,Linus Jansson,Exsitec Ski Team,5,30.08.1990,SWE,,,,,
169,Florian Göbel,Ski-Willy Marathon Team Austria,5,05.04.1972,GER,,,,,
169,Marius Vesterås,Team Synnfjell,5,10.10.1999,NOR,,,,,
169,Michal Vank,Slavia Pojišťovna Sport Team,5,09.06.1992,CZE,,,,,
173,Tobias Hartig,Bruse Sauerland Ski Team,4,14.09.1994,GER,,,,,
173,Oskar Ahnbrink,Team Synnfjell,4,07.09.2000,SWE,,,,,
173,Jonas Bergli,Team Synnfjell,4,18.03.1997,NOR,190 cm,84 kg,Fischer,Fischer,Leki
173,Valdemar Alfred Jørgensen,Danish Ski Maraton Team,4,08.12.2003,DEN,,,,,
177,Philipp Unger,xc-ski.de A|N Skimarathon Team,3,14.03.1998,GER,,,,,
178,Riccardo Mich,Team Futura Trentino GTE Elettrica,2,06.07.1991,ITA,,,Madshus,madshus,madshus
178,Øyvind Tormod Wennersberg,Team Coop Madshus,2,14.08.1955,NOR,,,,,
178,Matti Kaski,Team Kaski-Ekovilla,2,30.12.1976,FIN,,,,,
178,Markku Kouva,Team Edux,2,13.04.1974,FIN,178 cm,70 kg,Fischer,Fischer,Swix
178,Seve De Campo,Vltava Fund Ski Team,2,15.07.1998,AUS,,,,,
183,Even Northug,Team Janteloppet,1,26.09.1995,NOR,,,,,
183,Aleš Řezáč,Slavia Pojišťovna Sport Team,1,12.04.2007,CZE,,,,,
183,Petr Knop,eD system Silvini Team,1,12.05.1994,CZE,,,,,
183,Robin Mäenpää,Team Mäenpää,1,31.10.2002,FIN,,,,,
183,Jørgen Harby,YC Rør Sjusjøen Ski Team,1,,,,,,,
183,Luděk Šeller,Slavia Pojišťovna Sport Team,1,11.07.1995,CZE,,,,,
